"EventId","EventName","EventDate","EventTag","EventLocation","EventLocationShort","EventNumGames","Member","Game","GameScore","GameStrikes","GameSpares","GameMarks","Frame1_Mark1","Frame1_Mark2","Frame1_Score","Frame2_Mark1","Frame2_Mark2","Frame2_Score","Frame3_Mark1","Frame3_Mark2","Frame3_Score","Frame4_Mark1","Frame4_Mark2","Frame4_Score","Frame5_Mark1","Frame5_Mark2","Frame5_Score","Frame6_Mark1","Frame6_Mark2","Frame6_Score","Frame7_Mark1","Frame7_Mark2","Frame7_Score","Frame8_Mark1","Frame8_Mark2","Frame8_Score","Frame9_Mark1","Frame9_Mark2","Frame9_Score","Frame10_Mark1","Frame10_Mark2","Frame10_Mark3","Frame10_Score"
1,"Inaugural Event",2024-01-25,"inaugural-event","Mahall's","mahalls",2,"Dan Negrey",1,115,1,2,3,"8","/",20,"X","",39,"9","-",48,"1","7",56,"8","1",65,"8","-",73,"5","-",78,"9","-",87,"4","/",106,"9","-","",115
1,"Inaugural Event",2024-01-25,"inaugural-event","Mahall's","mahalls",2,"Dan Negrey",2,113,1,3,4,"8","1",9,"X","",27,"7","1",35,"9","/",48,"3","6",57,"9","-",66,"7","/",81,"5","3",89,"7","/",106,"7","-","",113
1,"Inaugural Event",2024-01-25,"inaugural-event","Mahall's","mahalls",2,"Jim Schenker",1,101,1,1,2,"6","2",8,"7","2",17,"7","2",26,"X","",43,"7","-",50,"-","7",57,"8","1",66,"-","9",75,"3","6",84,"9","/","7",101
1,"Inaugural Event",2024-01-25,"inaugural-event","Mahall's","mahalls",2,"Jim Schenker",2,97,0,3,3,"-","6",6,"7","-",13,"7","-",20,"1","1",22,"6","-",28,"9","/",47,"9","/",66,"9","/",83,"7","-",90,"-","7","",97
1,"Inaugural Event",2024-01-25,"inaugural-event","Mahall's","mahalls",2,"Kevin Zerbey",1,131,1,4,5,"6","/",19,"9","/",37,"8","1",46,"5","4",55,"9","-",64,"8","-",72,"X","",92,"8","/",108,"6","/",122,"4","5","",131
1,"Inaugural Event",2024-01-25,"inaugural-event","Mahall's","mahalls",2,"Kevin Zerbey",2,115,1,3,4,"5","4",9,"9","/",27,"8","-",35,"6","3",44,"5","4",53,"8","1",62,"X","",82,"9","/",96,"4","5",105,"9","/","-",115
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Dan Negrey",1,137,3,2,5,"7","/",20,"X","",38,"6","2",46,"X","",65,"9","-",74,"9","/",94,"X","",112,"8","-",120,"6","2",128,"9","-","",137
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Dan Negrey",2,112,1,4,5,"1","6",7,"1","5",13,"6","/",30,"7","2",39,"7","/",55,"6","1",62,"8","-",70,"6","/",85,"5","2",92,"X","9","/",112
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Dan Negrey",3,138,3,2,5,"5","4",9,"8","1",18,"9","-",27,"7","/",45,"8","/",65,"X","",83,"3","5",91,"X","",110,"6","3",119,"X","9","-",138
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Jim Schenker",1,99,1,4,5,"X","",13,"1","2",16,"5","-",21,"6","/",39,"8","/",55,"6","1",62,"6","3",71,"9","/",82,"1","6",89,"9","/","-",99
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Jim Schenker",2,83,0,2,2,"-","/",17,"7","-",24,"4","5",33,"1","5",39,"-","-",39,"6","2",47,"8","1",56,"7","-",63,"7","/",78,"5","-","",83
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Jim Schenker",3,94,0,2,2,"7","/",10,"-","8",18,"-","9",27,"7","2",36,"6","-",42,"8","-",50,"9","/",69,"9","-",78,"-","9",87,"7","-","",94
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Kevin Zerbey",1,122,2,2,4,"6","3",9,"X","",26,"7","-",33,"7","-",40,"9","/",57,"7","2",66,"6","/",85,"9","-",94,"X","",113,"7","2","",122
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Kevin Zerbey",2,133,2,3,5,"X","",18,"7","1",26,"9","-",35,"8","-",43,"X","",62,"9","-",71,"8","/",89,"8","/",106,"7","1",114,"9","/","9",133
2,"Spring Classic",2024-04-16,"spring-classic-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Kevin Zerbey",3,151,4,2,6,"X","",20,"7","/",33,"3","5",41,"7","2",50,"X","",79,"X","",99,"9","/",119,"X","",136,"6","1",143,"8","-","",151
3,"Fall Open",2024-11-16,"fall-open-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Allen Rickard",1,121,0,4,4,"8","-",8,"9","-",17,"7","2",26,"7","2",35,"7","/",52,"7","/",69,"7","1",77,"7","/",96,"9","/",112,"6","3","",121
3,"Fall Open",2024-11-16,"fall-open-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Allen Rickard",2,168,4,3,7,"X","",20,"9","/",35,"5","3",43,"X","",63,"9","/",82,"9","/",102,"X","",131,"X","",150,"9","-",159,"8","1","",168
3,"Fall Open",2024-11-16,"fall-open-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Allen Rickard",3,145,4,1,5,"7","2",9,"6","3",18,"X","",45,"X","",62,"7","-",69,"9","-",78,"X","",98,"7","/",117,"9","-",126,"X","5","4",145
3,"Fall Open",2024-11-16,"fall-open-2024","RollHouse North Olmsted","rollhouse-north-olmsted",3,"Dan Negrey",1,136,3,3,6,"X","",19,"8","1",28,"6","3",37,"X","",56,"9","-",65,"9","/",83,"8","/",100,"7","1",108,"1","7",116,"7","/","X",136
